Price;Metro;Name;Vmestimost;Area;Footprint;OtMetro
от 5000 руб. / ч;Автозаводская;contrabanda;60 гостей;85 м2;40;5 минут
от 100 руб. / ч;Кузьминки;wake4you;80 гостей;1000 м2;50;20 минут
от 800 руб. / ч;Бутырская;Joys Lounge Bar;50 гостей;80 м2;30;2 минут
от 800 руб. / ч;Волгоградский проспект;Лофт Broadway;35 гостей;70 м2;30;7 минут
от 2000 руб. / ч;Киевская;Дизайнерский лофт в центре Москвы;100 гостей;250 м2;50;5 минут
от 2000 руб. / ч;Алексеевская;Мира 80;80 гостей;80 м2;50;8 минут
от 2000 руб. / ч;Бауманская;Лофт для лучших событий;35 гостей;100 м2;35;5 минут
от 3000 руб. / ч;Бауманская;Модуль 130;150 гостей;130 м2;70;5 минут
от 8000 руб. / ч;Бауманская;Модуль 340;500 гостей;340 м2;200;5 минут
от 3000 руб. / ч;Электрозаводская;Modul V;150 гостей;150 м2;150;2 минут
от 5000 руб. / ч;Алексеевская;Mira Deluxe;200 гостей;200 м2;200;8 минут
от 2500 руб. / ч;Арбатская;Аквазона&Циклорама;40 гостей;75 м2;40;7 минут
от 2500 руб. / ч;Арбатская;Лофт;40 гостей;55 м2;40;7 минут
от 2500 руб. / ч;Арбатская;Клякса;40 гостей;75 м2;40;7 минут
от 1000 руб. / ч;Волгоградский проспект;IronCage Конференц зал;60 гостей;90 м2;50;2 минут
от 1200 руб. / ч;Тульская;Стильный светлый лофт в двух уровнях;35 гостей;82 м2;32;5 минут
от 3500 руб. / ч;Кунцевская;Сказочный лофт для детских праздников;60 гостей;230 м2;30;10 минут
от 1000 руб. / ч;Волгоградский проспект;IronCage;100 гостей;300 м2;80;2 минут
от 3000 руб. / ч;Тульская;Дизайнерский Лофт;55 гостей;70 м2;25;7 минут
от 3000 руб. / ч;Пушкинская;Творческое пространство в Трёхпрудном переулке;50 гостей;250 м2;50;10 минут
от 2000 руб. / ч;Алексеевская;Лофт в старинном здании у парка Сокольники;70 гостей;160 м2;60;15 минут
от 1000 руб. / ч;Алексеевская;Светлый лофт в старинном здании у парка Сокольники;30 гостей;75 м2;30;15 минут
от 1000 руб. / ч;Алексеевская;Тёмный лофт в старинном здании у парка Сокольники;30 гостей;65 м2;30;15 минут
от 2500 руб. / ч;Комсомольская;Двухэтажный лофт на Комсомольской;70 гостей;250 м2;50;10 минут
от 1000 руб. / ч;Авиамоторная;Лофт в Гараже Госплана;40 гостей;80 м2;15;8 минут
от 2000 руб. / ч;Чистые пруды;Атмосферный лофт в старинных стенах;100 гостей;60 м2;30;7 минут
от 1700 руб. / ч;Партизанская;Атмосферный лофт-бар для теплых встреч;25 гостей;32 м2;20;5 минут
от 700 руб. / ч;ВДНХ;Уютный лофт для творческих мероприятий и праздников;45 гостей;55 м2;40;7 минут
от 2000 руб. / ч;Академическая;Уютное пространство для детских мероприятий;30 гостей;50 м2;30;15 минут
от 10000 руб. / ч;Кузнецкий мост;Зал «Лекториум» в харизматичном гриль-пабе;70 гостей;55 м2;50;3 минут
от 10000 руб. / ч;Кузнецкий мост;Концертный зал в харизматичном гриль-пабе;90 гостей;68 м2;60;3 минут
от 4500 руб. / ч;Кожуховская;Просторный зал для конференций;100 гостей;130 м2;100;10 минут
от 500 руб. / ч;Академическая;Лофт с летним настроением;35 гостей;90 м2;20;15 минут
от 2000 руб. / ч;Семеновская;Студия для всех типов мероприятий;100 гостей;125 м2;90;8 минут
от 5000 руб. / ч;Семеновская;Куб;300 гостей;214 м2;220;8 минут
от 5000 руб. / ч;Семеновская;Просторный лаунж-лофт;400 гостей;277 м2;350;8 минут
от 5000 руб. / ч;Бауманская;Вместительный белый зал;250 гостей;260 м2;150;7 минут
от 1000 руб. / ч;Бауманская;Светлая универсальная площадка;50 гостей;70 м2;30;7 минут
от 2000 руб. / ч;Преображенская площадь;Яркий лофт в индустриальном стиле;50 гостей;102 м2;50;1 минут
от 600 руб. / ч;Проспект Мира;Компактное пространство на «Проспекте Мира»;8 гостей;12 м2;8;4 минут
от 800 руб. / ч;Проспект Мира;Зал для мероприятий и тренингов на Проспекте Мира;20 гостей;20 м2;20;4 минут
от 1500 руб. / ч;Проспект Мира;Элегантный светлый лофт;40 гостей;60 м2;40;4 минут
от 2500 руб. / ч;Проспект Мира;Стильное пространство на Проспекте Мира;65 гостей;110 м2;65;4 минут
от 2000 руб. / ч;Лермонтовский проспект;"Просторный двухуровневый лофт ""Star Hall""";25 мест;120 м2;;7 минут
от 800 руб. / ч;Преображенская площадь;Стильный лофт для отдыха и творческих мероприятий;50 гостей;120 м2;25;3 минут
от 5000 руб. / ч;Проспект Вернадского;Просторный пентхаус для деловых встреч и отдыха;50 гостей;990 м2;30;15 минут
от 1000 руб. / ч;Полежаевская;Галерея современного искусства для ваших мероприятий;40 гостей;60 м2;40;15 минут
от 3000 руб. / ч;Китай-город;Светлый пастельный лофт на мансардном этаже;100 гостей;70 м2;100;3 минут
от 1300 руб. / ч;Китай-город;Уютный лофт на Китай-городе;50 гостей;54 м2;30;2 минут
от 10000 руб. / ч;Семеновская;Большой лофт для масштабных мероприятий;800 гостей;800 м2;700;10 минут
от 1500 руб. / ч;Баррикадная;Стильный лофт на Баррикадной;20 гостей;40 м2;20;5 минут
от 2000 руб. / ч;Рязанский проспект;Расслабляющий бар Hameleon Lounge;35 гостей;82 м2;35;10 минут
от 10000 руб. / ч;Улица 1905 года;Сказочно-воздушный лофт;100 гостей;200 м2;70;10 минут
от 5000 руб. / ч;Новокузнецкая;Спортивная студия Booster Workout;100 гостей;200 м2;10;7 минут
от 10000 руб. / ч;Чистые пруды;Просторный лофт в два этажа на Чистых прудах;300 гостей;520 м2;150;5 минут
от 3600 руб. / ч;Достоевская;Уютный двухэтажный лофт на Достоевской;60 гостей;147 м2;60;10 минут
от 900 руб. / ч;Достоевская;Уютный зал для тренингов;40 гостей;74 м2;60;10 минут
от 900 руб. / ч;Достоевская;Лофт в стиле Домика у моря;35 гостей;64 м2;35;10 минут
от 3000 руб. / ч;Перово;АРТ-пространство для веселых праздников и креативных мероприятий;100 гостей;200 м2;60;8 минут
от 3600 руб. / ч;Авиамоторная;Лофт с верандой для большой компании;80;200 гостей;10 мест;290 м2
от 2000 руб. / ч;Тульская;Лофт с террасой для больших шумных компаний;70 гостей;200 м2;40;5 минут
от 2000 руб. / ч;Киевская;Нежный лофт в пастельных тонах;30 гостей;50 м2;30;20 минут
от 2000 руб. / ч;Авиамоторная;Лофт komoД с оригинальным авторским дизайном;40 гостей;100 м2;40;15 минут
от 2000 руб. / ч;Павелецкая;Атмосферная мансарда на Павелецкой;90 гостей;114 м2;50;3 минут
от 4000 руб. / ч;Парк Победы;Просторный лофт с верандой и барбекю;130 гостей;180 м2;100;10 минут
от 2000 руб. / ч;Красносельская;Контрастная студия с панорамными окнами;40 гостей;50 м2;30;10 минут
от 2000 руб. / ч;Красносельская;Зал в тёмных тонах;30 гостей;50 м2;30;10 минут
от 2000 руб. / ч;Красносельская;Чёрно-белый лофт с элементами стимпанка;30 гостей;50 м2;30;10 минут
от 2500 руб. / ч;Красносельская;Модный лофт с террасой для барбекю/кальяна;35 гостей;50 м2;30;10 минут
от 3000 руб. / ч;Красносельская;Белый лофт с панорамными окнами;70 гостей;120 м2;90;10 минут
от 7000 руб. / ч;Красносельская;Просторный белый зал со сценой и большим экраном;150 гостей;200 м2;180;10 минут
от 1500 руб. / ч;Кропоткинская;Добрый лофт;50 гостей;86 м2;50;5 минут
от 7000 руб. / ч;Охотный ряд;Лофт для работы и мероприятий в историческом центре Москвы;80 гостей;250 м2;60;7 минут
от 7000 руб. / ч;Охотный ряд;Мансардный лофт с баром на Столешниковом переулке;80 гостей;240 м2;80;7 минут
от 3500 руб. / ч;Дубровка;Универсальный лофт на Дубровке;120 гостей;140 м2;70;5 минут
от 1500 руб. / ч;Воробьевы горы;Площадка для любых мероприятий;70;60 гостей;5 мест;105 м2
от 1200 руб. / ч;Бауманская;Уютное лофт-пространство на Бауманской;65 гостей;135 м2;70;6 минут
от 2300 руб. / ч;Электрозаводская;Светлая студия на Электрозаводской;45;60 гостей;Да;150 м2
от руб. / ч;;Многофункциональное пространство для мероприятий;;;;
от 3000 руб. / ч;Чистые пруды;Модный лофт с баром на Чистых Прудах;250 гостей;170 м2;30;7 минут
от 1200 руб. / ч;Бауманская;Лофтовое пространство с выходом на улицу;Да;70 гостей;;107 м2
от 5000 руб. / ч;Выставочная;Аутентичный зал для всех форматов мероприятий;;70 гостей;;120 м2
от 3000 руб. / ч;Краснопресненская;Лофт на Трехгорной Мануфактуре;150 гостей;200 м2;80;15 минут
от 1500 руб. / ч;Тульская;Двухэтажный лофт с авторским дизайном;40 гостей;180 м2;35;7 минут
от 2500 руб. / ч;Достоевская;Стильный лофт для проведения мероприятий;100 гостей;270 м2;100;7 минут
от 1000 руб. / ч;Курская;Атмосферный винный лофт;50 гостей;80 м2;40;10 минут
от 4000 руб. / ч;Черкизовская;Party cafe на Локомотиве;40 гостей;80 м2;40;10 минут
от 1250 руб. / ч;Бауманская;Двухэтажное loft-пространство;80 гостей;112 м2;50;5 минут
от 2500 руб. / ч;Партизанская;Многоуровневый лофт в башне Измайловского кремля;200 гостей;240 м2;100;10 минут
от 1000 руб. / ч;Красносельская;Студия-мастерская;15 гостей;40 м2;15;15 минут
от 3000 руб. / ч;Университет;Лофт для детских праздников;40 гостей;200 м2;27;15 минут
от 1500 руб. / ч;Волгоградский проспект;Лофт-площадка для вечеринок;30 гостей;110 м2;27;6 минут
от 2500 руб. / ч;Киевская;Двухуровневый лофт с баром;80 гостей;120 м2;40;20 минут
от 1200 руб. / ч;Бауманская;Двухуровневый лофт для разных мероприятий;40 гостей;90 м2;40;10 минут
от 14000 руб. / ч;Дмитровская;Мультимедийный зал на Флаконе;500 гостей;700 м2;300;3 минут
от 5000 руб. / ч;Римская;Площадка для мероприятий недалеко от центра;80;100 гостей;Да;170 м2
от 3000 руб. / ч;Римская;Площадка на открытом воздухе с бассейном;20;70 гостей;Да;220 м2
от 3000 руб. / ч;Тульская;Лофт для особых событий;35 гостей;70 м2;15;7 минут
от 2000 руб. / ч;Тульская;Лофт-площадка для небольших компаний;35 гостей;70 м2;15;7 минут
от 3500 руб. / ч;Тульская;Стильный лофт в английской резиденции;80 гостей;110 м2;60;7 минут
от 75000 руб. / ч;Шаболовская;Лофт для бизнес-мероприятий на Шаболовке;300 гостей;600 м2;100;2 минут
от 1500 руб. / ч;Бауманская;Лофт с панорамными окнами для всех форматов мероприятий;110 гостей;120 м2;60;7 минут
от 3000 руб. / ч;Римская;Стильный лофт в светлых тонах;100 гостей;270 м2;80;10 минут
от 5000 руб. / ч;Кузнецкий мост;Апартаменты на Кузнецком мосту;70 гостей;90 м2;30;3 минут
от 4000 руб. / ч;Сокол;Универсальный лофт с дизайнерским интерьером;100 гостей;175 м2;50;5 минут
от 1500 руб. / ч;Алексеевская;Лофт Air;15 гостей;35 м2;15;7 минут
от 2000 руб. / ч;Таганская;Лофт в скандинавском стиле;25;40 гостей;Да;80 м2
от 6000 руб. / ч;Курская;Дизайнерский лофт для презентаций;120 гостей;270 м2;100;10 минут
от 1500 руб. / ч;Перово;Светлое пространство для творческих мероприятий;30 гостей;90 м2;25;15 минут
от 800 руб. / ч;Шаболовская;Атмосферная фотостудия на Шаболовской;300;40 м2;;7 минут
от 1500 руб. / ч;Шаболовская;Фотостудия White;100 гостей;125 м2;100;7 минут
от 800 руб. / ч;Шаболовская;Компактный лофт для оригинальных фотосессий;300;45 м2;;7 минут
от 800 руб. / ч;Шаболовская;Танцевальный зал на Шаболовке;20 гостей;60 м2;300;7 минут
от 7000 руб. / ч;Улица 1905 года;Белый двухуровневый лофт;120 гостей;200 м2;50;15 минут
