Name,Price,Metro,Likes,Orders,Sale
Посещение в будний или выходной день сети активити-парков Fun Jump,200 руб.,Коломенская,0,0,-50%
"2, 3 часа игры или индивидуальные занятия в Московской академии снукера",444 руб.,Проспект Мира,0,0,-63%
Билет для взрослого или ребенка в детский город профессий Kidzania,395 руб.,ЦСКА,1,2,-50%
Целый день развлечений в детском развлекательном центре Parc Enfance,245 руб.,Дубровка,0,0,-51%
Участие в перформанс-квесте «Сомния» от студии Top Quest,878 руб.,Деловой центр,0,0,-89%
"Отдых с посещением хаммама, финской парной и бассейна в «Даниловской сауне»",1 600 руб.,Тульская,0,0,-50%
Прогулка по Москве-реке с обедом либо ужином на теплоходе River Palace,175 руб.,Киевская,471,551,-50%
Билет на посещение сети детских городов профессий «КидБург»,200 руб.,,516,3421,-50%
Игровая карта номиналом 3500 или 5000 руб. в парке аттракционов Happylon,1 750 руб.,Домодедовская,54,64,-50%
Отдых в аквапарке в развлекательном комплексе «Фэнтази Парк»,646 руб.,Марьино,92,514,-62%
6 минут полета в аэротрубе для одного от компании «Ай-флай»,1 200 руб.,Курская,129,206,-50%
Прогулка по Москве-реке с обедом либо ужином на теплоходе River Lounge,175 руб.,Октябрьская,191,64,-50%
"1, 2 или 4 заезда на карте на открытой трассе в клубе «Диксодром»",264 руб.,Партизанская,139,525,-52%
Входной билет в детский город мастеров «Мастерславль»,100 руб.,Выставочная,226,1535,-50%
Прокат спорткара или трансфер на мероприятие от компании Like,3 000 руб.,Дмитровская,79,22,-50%
Полет в аэротрубе продолжительностью 2 минуты в комплексе «Свободный полет»,980 руб.,Митино,144,456,-51%
До 5 часов игры на аппаратах в парке развлечений Play Day,395 руб.,Южная,725,2416,-50%
2 или 4 заезда на карте в картинг-центре «Серебряный дождь»,700 руб.,,360,1677,-50%
Катание на квадроцикле по маршруту на выбор от компании Pro-kvad,690 руб.,,113,64,-77%
День развлечений в аквапарке в центре семейного отдыха «Карибия»,125 руб.,Перово,75,416,-58%
Полет на воздушном шаре для одного с трансфером от клуба Magic Flight,3 960 руб.,Алтуфьево,19,4,-56%
1 или 2 экстремальных заезда на карте на открытой трассе в Kart Racing Club,300 руб.,Волжская,136,539,-50%
Полет в аэротрубе с арендой экипировки от компании «Аэропоток»,390 руб.,Волжская,253,718,-74%
2 или 3 часа игры для 6 человек в боулинг-клубе «Планета Боулинг»,498 руб.,Коломенская,264,705,-72%
Аэроэкскурсия над Подмосковьем на вертолете от компании «Авиа Парт»,3 960 руб.,,98,17,-52%
Прогулка на теплоходе по Москве-реке от компании «Праздник на воде»,294 руб.,Выставочная,66,12,-58%
Заезд на карте для взрослого или ребенка в картинг-клубе Kart Planet,275 руб.,Отрадное,54,351,-50%
2 или 4 заезда на карте в будний либо выходной день в картинг-центре «Маяк»,1 000 руб.,,58,301,-50%
Речная прогулка на теплоходе «Уникум» от судоходной компании «Кораблики»,2 150 руб.,Выставочная,73,20,-57%
Катание для одного или двоих в сети электрокатков «Сегвейдром»,250 руб.,,63,186,-50%
Посещение одной или всех игровых зон в парке активного отдыха «Белка-парк»,100 руб.,,92,776,-50%
"20, 30, 60 или 120 минут прогулки на квадроцикле от компании «Тур-Сафари»",600 руб.,,20,3,-76%
Полет в аэротрубе в аэродинамическом комплексе I Can Fly в ТЦ «Авиапарк»,850 руб.,ЦСКА,504,914,-50%
Заезд на квадроцикле для одного или двоих от компании «Квадро Сафари»,660 руб.,,14,5,-78%
Отдых с рыбалкой от компании «Рыбалка в Горчухино»,1 850 руб.,,50,15,-50%
Участие в хоррор-квесте «Проклятие Аннабель» от студии «Фабрика безумия»,848 руб.,Кузьминки,16,5,-83%
1 или 2 часа игры в боулинг в центре развлечений LaserLand,323 руб.,Площадь Гагарина,143,243,-81%
3 часа игры в боулинг в клубе «Спортлайн»,889 руб.,Павелецкая,202,409,-81%
Билет на выставку картин от музея оптических иллюзий «3D-воображариум»,125 руб.,,117,325,-50%
Участие в квесте «Ночной Техас» от компании «Игра разума»,1 500 руб.,Павелецкая,21,31,-50%
Заезд на квадроцикле на выбор от компании Kvadrmoto,1 410 руб.,,18,3,-53%
Билет для взрослого или ребенка в интерактивный музей-театр «Сказкин дом»,275 руб.,Автозаводская,15,30,-50%
Посещение игры на выбор в сети парков развлечений «Семейная игра»,250 руб.,,383,1058,-50%
Прогулка на теплоходе по Москве-реке с напитком от компании «МосФлот»,272 руб.,Выставочная,103,102,-66%
"1, 2 или 4 заезда на карте мощностью на выбор в картинг-центре РСК «Русь»",258 руб.,,24,50,-57%
Посещение семейного парка активного отдыха Jungle Jump,250 руб.,Молодёжная,214,991,-50%
Посещение для одного ребенка детского развлекательного центра «Супер-пупер»,150 руб.,Технопарк,39,125,-50%
Целый день игры в пейнтбол в клубе «Бастион»,990 руб.,,25,29,-50%
День игры в пейнтбол от клуба «Гвардия»,990 руб.,,102,115,-56%
Аэропрогулка на выбор или аренда самолета от аэроклуба «Аэропрактика»,2 998 руб.,,82,21,-62%
"Посещение площадки «Мадагаскар», «Страна Мадагаскария» или «Джуманджи»",250 руб.,,200,1000,-50%
2 или 4 заезда на карте на картодроме «Лидер» от команды Global Racing,980 руб.,,214,297,-51%
Билет для взрослых и детей в развлекательный центр Dino Club,700 руб.,Лубянка,401,610,-50%
1 или 2 часа конной прогулки в конноспортивном клубе «Гвардия»,570 руб.,,50,12,-62%
2 или 3 часа игры в боулинг в боулинг-клубе «Планета Боулинг»,252 руб.,,138,486,-84%
Безлимитный отдых для одного человека в веревочном парке «Гамми Парк»,499 руб.,Парк Победы,22,8,-50%
1 час или безлимитное посещение детской площадки Funny Monkeys,175 руб.,,245,365,-50%
3 часа посещения скалодрома и веревочного парка от «Скалодрома Х8»,800 руб.,Авиамоторная,168,100,-50%
Катание на квадроцикле или мотоцикле кросс и эндуро от компании Kvadrprokat,725 руб.,,201,114,-50%
Экскурсия «Знакомство с небоскребами „Москва-сити“» от Moscow-City-Weekend,102 руб.,Деловой центр,694,894,-83%
Участие в квесте «Рекруты МИ6» от компании «Ловушка»,1 200 руб.,Сокольники,64,55,-50%
Экскурсия «Весна с хаски» или догтрекинг от СК «Бореалис»,392 руб.,,102,57,-51%
Участие в квесте «Пираты Карибского моря» от компании BestQuestCinema,1 650 руб.,Петровский парк,18,7,-67%
"Фотосессия с лошадью, конная прогулка на выбор в клубе «Усадьба Марфино»",525 руб.,,60,7,-65%
60 минут игры в шлеме HTC Vive в клубе виртуальной реальности VR4Fun,300 руб.,Таганская (кольцевая),107,63,-50%
До 2 часов свободных прыжков в батутном центре «The Батут»,253 руб.,Авиамоторная,255,341,-61%
Прогулка по Москве-реке с обедом или ужином от компании «Мосфлот»,264 руб.,Выставочная,132,53,-56%
Полет на самолете или автожире от авиацентра «Воскресенск»,3 330 руб.,,245,78,-63%
Участие в перформанс-квесте с актерами «Синистер» от студии Top Quest,878 руб.,Волгоградский проспект,74,21,-89%
"2, 4 или 6 часов посещения сауны с парной, SPA-ванной в отеле Silky Way",1 200 руб.,,53,10,-50%
Комплекс развлечений для одного либо двоих в центре «Ролл Холл»,989 руб.,Тульская,61,45,-55%
Полет на самолете для одного или двоих в аэроклубе Fly-zone,2 970 руб.,,119,39,-67%
